Ward,Searches,Searches which got estimate,Searches for Quotes,Searches which got Quotes,Bookings,Completed Trips,Search-to-estimate Rate,Estimate-to-search for quotes Rate,Quote Acceptance Rate,Quote-to-booking Rate,Cancelled Bookings,Booking Cancellation Rate,Conversion Rate,Drivers' Earnings,Average Distance per Trip (km),Average Fare per Trip,Distance Travelled (km)
Shanthi Nagar,"1,86,037","1,83,777","1,57,108","72,458","70,847","44,565",98.80%,85.50%,46.10%,97.80%,"26,263",37.10%,23.90%,"₹53,49,209",6.6,₹121.30,"2,99,356"
Maruthi Seva Nagar,"1,48,230","1,46,698","1,21,932","71,221","70,022","44,454",99.00%,83.10%,58.40%,98.30%,"25,552",36.50%,30.00%,"₹61,64,541",7.9,₹141.39,"3,50,065"
A Narayanapura,"2,31,689","2,29,405","1,82,474","83,289","81,612","44,356",99.00%,79.50%,45.60%,98.00%,"37,241",45.60%,19.10%,"₹72,55,094",8.8,₹158.93,"4,10,861"
Hebbala,"1,26,940","1,25,781","96,094","67,153","65,709","43,385",99.10%,76.40%,69.90%,97.80%,"22,314",34.00%,34.20%,"₹62,66,072",8.1,₹141.77,"3,64,225"
Vasanthpura,"1,25,962","1,24,260","92,596","65,752","64,066","43,364",98.70%,74.50%,71.00%,97.40%,"20,694",32.30%,34.40%,"₹57,10,660",7.3,₹129.03,"3,29,006"
Chunchaghatta,"1,39,583","1,37,833","1,06,745","63,124","61,714","42,386",98.80%,77.40%,59.10%,97.80%,"19,327",31.30%,30.40%,"₹60,46,819",8.2,₹144.17,"3,49,366"
Kodigehalli,"1,21,301","1,20,129","91,017","65,248","63,655","42,163",99.00%,75.80%,71.70%,97.60%,"21,482",33.80%,34.80%,"₹62,67,871",7.9,₹138.02,"3,67,542"
Puttenahalli - Sarakki Lake,"1,36,470","1,34,558","1,06,413","66,151","64,529","41,998",98.60%,79.10%,62.20%,97.50%,"22,526",34.90%,30.80%,"₹56,05,593",7.7,₹135.07,"3,18,946"
Girinagar,"95,007","93,833","68,080","58,138","56,667","41,668",98.80%,72.60%,85.40%,97.50%,"14,993",26.50%,43.90%,"₹50,55,832",6.3,₹112.44,"2,92,455"
Veeramadakari,"1,31,868","1,30,397","96,514","66,267","64,414","41,334",98.90%,74.00%,68.70%,97.20%,"23,072",35.80%,31.30%,"₹54,87,227",7.4,₹128.70,"3,19,308"
Ganga Nagar,"1,12,097","1,10,936","84,824","61,294","59,916","40,292",99.00%,76.50%,72.30%,97.80%,"19,619",32.70%,35.90%,"₹53,33,736",7.1,₹126.69,"3,06,244"
